pct,pollscore,methodology,transparency_score,hypothetical
50,-0.4,Online Panel,3,FALSE
46,-0.4,Online Panel,3,FALSE
48,-1.1,Online Panel,9,FALSE
45,-1.1,Online Panel,9,FALSE
1,-1.1,Online Panel,9,FALSE
1,-1.1,Online Panel,9,FALSE
49,-1.1,Online Panel,9,FALSE
45,-1.1,Online Panel,9,FALSE
1,-1.1,Online Panel,9,FALSE
0,-1.1,Online Panel,9,FALSE
49,-0.4,Online Panel,3,FALSE
46,-0.4,Online Panel,3,FALSE
49,0.6,IVR,5,FALSE
50,0.6,IVR,5,FALSE
61,-1.1,IVR/Online Panel,7,FALSE
36.6,-1.1,IVR/Online Panel,7,FALSE
46,0.4,Online Panel,9,FALSE
48,0.4,Online Panel,9,FALSE
1,0.4,Online Panel,9,FALSE
0,0.4,Online Panel,9,FALSE
46,0.4,Online Panel,9,FALSE
48,0.4,Online Panel,9,FALSE
1,0.4,Online Panel,9,FALSE
1,0.4,Online Panel,9,FALSE
44,0.4,Online Panel,9,FALSE
50,0.4,Online Panel,9,FALSE
0,0.4,Online Panel,9,FALSE
1,0.4,Online Panel,9,FALSE
47,0.4,Online Panel,9,FALSE
47,0.4,Online Panel,9,FALSE
1,0.4,Online Panel,9,FALSE
2,0.4,Online Panel,9,FALSE
47,0.4,Online Panel,9,FALSE
47,0.4,Online Panel,9,FALSE
1,0.4,Online Panel,9,FALSE
0,0.4,Online Panel,9,FALSE
51,0.4,Online Panel,9,FALSE
43,0.4,Online Panel,9,FALSE
0,0.4,Online Panel,9,FALSE
1,0.4,Online Panel,9,FALSE
47,0.4,Online Panel,9,FALSE
47,0.4,Online Panel,9,FALSE
1,0.4,Online Panel,9,FALSE
0,0.4,Online Panel,9,FALSE
49,0.4,Online Panel,9,FALSE
45,0.4,Online Panel,9,FALSE
1,0.4,Online Panel,9,FALSE
2,0.4,Online Panel,9,FALSE
48,0.4,Online Panel,9,FALSE
48,0.4,Online Panel,9,FALSE
1,0.4,Online Panel,9,FALSE
0,0.4,Online Panel,9,FALSE
48,0.4,Online Panel,9,FALSE
47,0.4,Online Panel,9,FALSE
1,0.4,Online Panel,9,FALSE
1,0.4,Online Panel,9,FALSE
57,-1.3,Online Panel,8,FALSE
35,-1.3,Online Panel,8,FALSE
50,-0.6,Live Phone/Text-to-Web,9.5,FALSE
47,-0.6,Live Phone/Text-to-Web,9.5,FALSE
49,-0.4,Online Panel,3,FALSE
46,-0.4,Online Panel,3,FALSE
49,-0.1,Online Panel,7,FALSE
48,-0.1,Online Panel,7,FALSE
1,-0.1,Online Panel,7,FALSE
1,-0.1,Online Panel,7,FALSE
51,-0.1,Online Panel,7,FALSE
49,-0.1,Online Panel,7,FALSE
51,-0.1,Online Panel,7,FALSE
49,-0.1,Online Panel,7,FALSE
49,-0.1,Online Panel,7,FALSE
48,-0.1,Online Panel,7,FALSE
2,-0.1,Online Panel,7,FALSE
1,-0.1,Online Panel,7,FALSE
50,-0.3,Online Panel,3,FALSE
