id,start_time,completion_time,year,program_of_study,gpa,writing_is_easy_for_me,i_like_to_write,i_believe_it_is_important_to_be_a_good_writer,when_i_edit_it_is_easy_for_me_to_catch_my_mistakes,i_feel_confident_sharing_my_writing,i_am_confident_in_my_overall_writing_ability,coding_is_easy_for_me,i_like_to_code,i_believe_it_is_important_to_be_a_good_coder,when_i_check_my_code_it_is_easy_for_me_to_catch_my_mistakes,i_feel_confident_sharing_my_code,i_am_confident_in_my_overall_coding_ability,ai_familiarity,used_ai_any_reason,ai_schoolwork_appropriate,ai_schoolwork_appropriate_comments,used_ai_in_sta302,ai_helpful_weekly_quiz,ai_helpful_weekly_mini_essay,ai_helpful_papers_generating_ideas,ai_helpful_papers_writing_code,ai_helpful_papers_writing_content,ai_helpful_papers_improving_content,recs_for_ai_sta302,other_comments,not_used,used_technical_q,used_conversation,used_general_knowledge,used_solving_hmk,used_check_soln,used_quick_q,used_expl_concepts,used_writing_content,used_writing_code
2,2024-04-11T08:46:01Z,2024-04-11T09:01:23Z,6th,Undeclared,NA,This is very different to me,This is very different to me,NA,This is very different to me,This is very different to me,This is very different to me,This is very different to me,This is very different to me,This is a lot like me,This is very different to me,This is very different to me,This is very different to me,Not familiar,No,?,?,NA,Not helpful,Not helpful,Not helpful,Not helpful,Not helpful,Not helpful,oh boy,NA,1,0,0,0,0,0,0,0,0,0
3,2024-04-12T09:28:53Z,2024-04-12T09:31:32Z,3rd,Statistics,4,This is very different to me,This is a lot like me,This is a lot like me,This is a lot like me,This is a lot like me,This is a lot like me,This is very different to me,This is very different to me,This is very different to me,This is very different to me,This is very different to me,This is very different to me,Very familiar,Yes,Appropriate,asdf,Yes,Not helpful,Not helpful,Not helpful,Not helpful,Not helpful,Not helpful,asdf,NA,0,1,1,0,0,1,0,0,0,0
4,2024-04-12T09:45:22Z,2024-04-12T09:49:14Z,3rd,Computer Science,3.6,This somewhat describes me,This somewhat describes me,This is a lot like me,This is very different to me,This somewhat describes me,This somewhat describes me,This is a lot like me,This is a lot like me,This is a lot like me,This somewhat describes me,This somewhat describes me,This is a lot like me,Very familiar,Yes,Inappropriate,It hinders the purpose of exploring and learning new things.,Yes,Not helpful,Not helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Very helpful,"It should be promoted, however cited as a resource, as recommended in this course.",NA,0,1,0,1,1,1,1,1,1,1
5,2024-04-12T09:45:19Z,2024-04-12T09:50:37Z,4th,Undeclared,3.2,This is very different to me,This somewhat describes me,This is a lot like me,This somewhat describes me,This is very different to me,This somewhat describes me,This somewhat describes me,This somewhat describes me,This somewhat describes me,This is very different to me,This somewhat describes me,This somewhat describes me,Very familiar,Yes,Appropriate,"Once AI is used to supplement or enhance what was done, then I think it’s okay. E.g., helping the user fix bugs is okay but not writing all of the code.",Yes,Not helpful,Not helpful,Not helpful,Somewhat helpful,Not helpful,Not helpful,None,None,0,1,0,0,0,0,1,1,0,1
6,2024-04-12T09:46:19Z,2024-04-12T09:51:39Z,3rd,Undeclared,3.5,This somewhat describes me,This somewhat describes me,This is very different to me,This somewhat describes me,This somewhat describes me,This somewhat describes me,This somewhat describes me,This somewhat describes me,This is very different to me,This somewhat describes me,This somewhat describes me,This somewhat describes me,Somewhat familiar,No,Appropriate,AI is a good toll overall.,No,Very helpful,Somewhat helpful,Very helpful,Very helpful,Very helpful,Very helpful,No.,NA,1,0,0,0,0,0,0,0,0,0
7,2024-04-12T09:47:56Z,2024-04-12T09:51:57Z,3rd,Mathematics,3.6,This is a lot like me,This somewhat describes me,This somewhat describes me,This somewhat describes me,This is a lot like me,This is a lot like me,This somewhat describes me,This is very different to me,This is very different to me,This is very different to me,This somewhat describes me,This somewhat describes me,Very familiar,Yes,Appropriate,"For the majority of our work, the use of generative AI is ethical and appropriate. Students have been using tools like Google, Math Stack Exchange, and more for years. Chat GPT makes finding the information easier.",Yes,Somewhat helpful,Somewhat helpful,I did not use generative AI for this component,Very helpful,I did not use generative AI for this component,I did not use generative AI for this component,"The approach of 302, where it was permitted as long as it was cited, it probably the best way to go about it.",NA,0,1,1,1,1,1,1,1,1,1
8,2024-04-12T09:45:31Z,2024-04-12T09:52:38Z,3rd,Undeclared,NA,This somewhat describes me,This is a lot like me,This is a lot like me,This is a lot like me,This somewhat describes me,This somewhat describes me,This is a lot like me,This is a lot like me,This is a lot like me,This somewhat describes me,This somewhat describes me,This is a lot like me,Very familiar,Yes,Appropriate,"I think generative AI tools can be useful in helping people quickly clarify concepts they might not understand with their schoolwork. In my mind, it’s another version of Google but you need to be cautious of the answers it provides you.",No,I did not use generative AI for this component,I did not use generative AI for this component,I did not use generative AI for this component,I did not use generative AI for this component,I did not use generative AI for this component,I did not use generative AI for this component,I think they should be allowed in the future still but I think students should be taught that sometimes these generative AI tools can provide incorrect answers at times.,NA,0,1,1,1,0,0,0,1,0,0
9,2024-04-12T09:53:10Z,2024-04-12T09:57:15Z,4th,Statistics,2.7,This is very different to me,This is very different to me,This is a lot like me,This is very different to me,This is very different to me,This is very different to me,This is a lot like me,This is a lot like me,This is a lot like me,This is a lot like me,This is a lot like me,This is a lot like me,Very familiar,Yes,Appropriate,"When cited appropriately, I don’t believe there’s anything wrong with using AI to assist with tasks since I believe that is the way forward.",Yes,I did not use generative AI for this component,I did not use generative AI for this component,Very helpful,Somewhat helpful,Somewhat helpful,I did not use generative AI for this component,"Can be used to enhance writing, getting recommendations for paper topics",NA,0,1,0,1,1,1,1,1,1,1
10,2024-04-12T09:53:24Z,2024-04-12T10:00:00Z,3rd,Data Science,3,This is very different to me,This is very different to me,This somewhat describes me,This somewhat describes me,This is a lot like me,This is a lot like me,This is a lot like me,This is a lot like me,This is a lot like me,This is a lot like me,This is a lot like me,This is a lot like me,Very familiar,Yes,Appropriate,"Since the invention of LLMs, they have become very accessible and easy source of education. This is the reason why eveyone uses it on the daily as the concepts have become too difficult to understand. It’s ethical as it provides an extra source of information that it easily available.",Yes,Somewhat helpful,Somewhat helpful,Somewhat helpful,Very helpful,Very helpful,Not helpful,I like how LLMS are not ignored in this class and banned from using. It makes sure paper look the best the they can and students can use all the resources out there without the fear of AO.,NA,0,1,0,0,0,1,0,1,1,0
11,2024-04-12T09:45:24Z,2024-04-12T10:02:39Z,3rd,Undeclared,3.4,This somewhat describes me,This is a lot like me,This is a lot like me,This is very different to me,This is very different to me,This somewhat describes me,This somewhat describes me,This somewhat describes me,This is a lot like me,This is very different to me,This is very different to me,This somewhat describes me,Very familiar,Yes,Appropriate,"I am a math major student, and when I write a proof for a famous theorem (usually everyone learns the same proof process and everyone uses that proof to prove), I do not give credit to the first mathematician who thought of the proof. I feel like finishing homework/generating code using ChatGPT is kind of similar? I think using LLM for homework is a way of learning, but it is hard to learn if you can just have the answer.",Yes,Somewhat helpful,I did not use generative AI for this component,I did not use generative AI for this component,Very helpful,I did not use generative AI for this component,Very helpful,Give students more questions that cannot be answered by AI because it is unlikely for many people to learn when the answers are given.,NA,0,1,1,1,1,0,1,1,1,1
14,2024-04-12T09:55:18Z,2024-04-12T10:04:47Z,4th,Undeclared,2.9,This somewhat describes me,This somewhat describes me,This is a lot like me,This is a lot like me,This somewhat describes me,This somewhat describes me,This somewhat describes me,This is a lot like me,This somewhat describes me,This somewhat describes me,This is very different to me,This somewhat describes me,Somewhat familiar,Yes,Appropriate,The use of AI tools spends on the setting. For example I believe it to be extremely useful for writing aspects of code in assignments especially when you give examples of previous code you plan on mimicking. I do not believe it’s right to use if you are completing a quiz for example. Outside of school I believe AI is another tool for businesses and individuals to use similar to how they would use google or excel.,Yes,Somewhat helpful,Very helpful,I did not use generative AI for this component,Somewhat helpful,Not helpful,Somewhat helpful,I believe the current format where the use of AI tools is allowed assuming it’s cited appropriately is great. It’s likely that other courses will have to take this approach. In the future I believe mini essay or quiz questions should include specific content on the use of AI.,I genuinely really enjoyed the course. Yes it was a lot of work but also extremely rewarding.,0,0,0,1,0,1,1,1,1,1
15,2024-04-12T09:45:22Z,2024-04-12T10:05:05Z,3rd,Economics,3.9,This somewhat describes me,This is a lot like me,This is a lot like me,This is a lot like me,This somewhat describes me,This somewhat describes me,This somewhat describes me,This is a lot like me,This is a lot like me,This is a lot like me,This is a lot like me,This somewhat describes me,Very familiar,Yes,Appropriate,Using AI to code is highly useful for most none comp sci students. It saves a lot of unecessary time for these students that could have used elsewhere. I also believe using AI to generate ideas and polish writings is a good useful for a course like this that has lots of coursework.,Yes,Somewhat helpful,Somewhat helpful,Very helpful,Very helpful,Somewhat helpful,Somewhat helpful,I think the current level of AI requirements is quite good. Students who use LLM should mention their usage and put their history in a separate file.,"I really enjoyed this course! Well, the first part of the couse was traumatizing, but I truly learned a lot (perhaps more than any other courses I took this year). I would 100% take this course again! :)",0,1,1,1,1,1,1,1,1,1
16,2024-04-12T09:58:37Z,2024-04-12T10:05:35Z,4th,Undeclared,3.5,This is very different to me,This is very different to me,This is a lot like me,This somewhat describes me,This is very different to me,This is very different to me,This is a lot like me,This is a lot like me,This is a lot like me,This is a lot like me,This is a lot like me,This is a lot like me,Very familiar,Yes,Appropriate,"Generative AI chatbots usually don't give you the right answer directly. It is blatant if anyone directly copied or lifted a result from such tools. It is more meaningful and should be used as an aid as you would any user written response on a public forum, although there is no way of knowing if the response is well-formed and sound as you would on StackExchange. I believe responsible use of generative AI will be more beneficial, and asking for the chat logs with these bots is a good step in regulating this use.",Yes,I did not use generative AI for this component,I did not use generative AI for this component,I did not use generative AI for this component,Very helpful,Not helpful,Somewhat helpful,"It can be used to help people with figuring out bugs in their code, understanding concepts and different R packages, helping improve their writing through grammar/spelling checks.",NA,0,1,1,1,0,0,1,1,0,1
17,2024-04-12T10:08:25Z,2024-04-12T10:17:25Z,4th,Computer Science,2.7,This is very different to me,This is very different to me,This is a lot like me,This somewhat describes me,This is very different to me,This somewhat describes me,This somewhat describes me,This is a lot like me,This is a lot like me,This somewhat describes me,This somewhat describes me,This somewhat describes me,Somewhat familiar,Yes,Appropriate,Can be helpful to explain concepts and give a starting point to write code. Sometimes gives false information so responses should be verified before being used.,Yes,I did not use generative AI for this component,I did not use generative AI for this component,Somewhat helpful,I did not use generative AI for this component,I did not use generative AI for this component,I did not use generative AI for this component,I think generative AI tools should be used only for clarifying ideas or explaining a topic (And still needs to be verified). I think that using it to write a majority the paper is not appropriate. Using chatgpt to generate code may be appropriate in certain cases since most people would search up and find the same answer on websites like stackoverflow.,NA,0,1,0,1,1,1,1,1,1,1
18,2024-04-12T10:02:40Z,2024-04-12T10:18:08Z,2nd,Mathematics,3.9,This somewhat describes me,This somewhat describes me,This is a lot like me,This is very different to me,This is a lot like me,This somewhat describes me,This is a lot like me,This somewhat describes me,This somewhat describes me,This is a lot like me,This is a lot like me,This is a lot like me,Very familiar,Yes,Appropriate,"It’s appropriate as it expands my capability within any subject field. For example, with math chatgpt can be great at explaining certain points within an explanation speeding up the learning process. It makes us more capable in our work and allows us to put out better work, which is what really matters post uni. On the ethics side, I feel that it’s ethical cause the point of most subjects is to make teach the underlying theory, which usually has a lot of grunt work, and so by outsourcing the grunt work to these AI tools, we can focus much more on the theory and idea.",Yes,I did not use generative AI for this component,I did not use generative AI for this component,Not helpful,Very helpful,Somewhat helpful,Very helpful,"I feel coding should be taught through ChatGPT. Even though it is paid, if we treat it as a course resource, then ChatGPT can be much better at teaching R as many students don’t know how to use it prior to the course. Since this course focuses on using R packages rather than programming,  ChatGPT can be used as a great retrieval tool for different types of functions that can be hard to remember. If the R appendix specifically focuses on using chatgpt to retrieve and explain functions within packages, then it’ll be much better at teaching R",None,0,1,0,0,0,1,1,1,1,1
