Wing width (mm),Wing length (mm),Winglet height (mm),Flying time (sec) - first timer,Flying time (sec) - second timer
70,111,18,1.83,1.82
57,127,18,2.32,2.28
59,92,47,2.05,1.75
70,75,15,1.1,0.78
62,112,20,2.32,2.07
68,103.5,20,0.5,0.58
58,108,20,1.7,1.73
79,114,20,0.86,0.61
56,186,36,3.42,n/a
87,68,22,1.37,1.58
50,118,20,2.68,2.98
490,186,21,1.83,n/a
61,116,20,1.32,N/A
6,127,25,1,0.98
56,184,17,2.79,2.55
69,124,14,1.4,0.9
60,95,17,1.12,0.63
44,137,30,1.28,2.13
55,106,21,,0.96
63,125,21,"1,35",1.5
caw,caw,caw,caw,caw
